TCP bufsize: 2; elapsed time: 12.123571546995663
UDP bufsize: 2; elapsed time: 93.02379373800068
TCP bufsize: 4; elapsed time: 9.870272100000875
UDP bufsize: 4; elapsed time: 45.12944206799148
TCP bufsize: 8; elapsed time: 4.661175355009618
UDP bufsize: 8; elapsed time: 23.1515179190028
TCP bufsize: 16; elapsed time: 3.310931225991226
UDP bufsize: 16; elapsed time: 12.396966326996335
TCP bufsize: 32; elapsed time: 1.9206096499983687
UDP bufsize: 32; elapsed time: 7.044530757004395
TCP bufsize: 64; elapsed time: 1.1114961249986663
UDP bufsize: 64; elapsed time: 3.2447266950039193
TCP bufsize: 128; elapsed time: 0.8327393049985403
UDP bufsize: 128; elapsed time: 1.9906214049988193
TCP bufsize: 256; elapsed time: 0.7163047559879487
UDP bufsize: 256; elapsed time: 1.3775304420123575
TCP bufsize: 512; elapsed time: 0.724043045003782
UDP bufsize: 512; elapsed time: 1.0669385609944584
TCP bufsize: 1024; elapsed time: 0.798794051996083
UDP bufsize: 1024; elapsed time: 0.9145880930009298
TCP bufsize: 2048; elapsed time: 0.8090389699937077
UDP bufsize: 2048; elapsed time: 0.8612907089991495
TCP bufsize: 4096; elapsed time: 0.7110655050055357
UDP bufsize: 4096; elapsed time: 0.803592217998812
